state,meanBMI,highBMI
Alabama,28.67834,1
Alaska,28.00163,1
Arizona,27.32306,0
Arkansas,28.43642,1
California,26.99287,0
Colorado,26.55116,0
Connecticut,27.46193,0
Delaware,28.12471,1
District of Columbia,26.95953,0
Florida,27.81122,0
Georgia,28.21375,1
Hawaii,26.49335,0
Idaho,27.72478,0
Illinois,27.87467,0
Indiana,28.37824,1
Iowa,28.23987,1
Kansas,28.05798,1
Kentucky,28.62787,1
Louisiana,28.58078,1
Maine,27.77249,0
Maryland,27.96478,1
Massachusetts,27.2211,0
Michigan,28.25456,1
Minnesota,27.44811,0
Mississippi,28.74018,1
Missouri,28.19801,1
Montana,27.48993,0
Nebraska,28.12925,1
Nevada,27.23622,0
New Hampshire,27.60851,0
New Jersey,27.47159,0
New Mexico,27.51241,0
New York,27.29657,0
North Carolina,28.17235,1
North Dakota,28.18437,1
Ohio,28.3261,1
Oklahoma,28.30924,1
Oregon,27.40945,0
Pennsylvania,27.9506,0
Rhode Island,27.71223,0
South Carolina,28.27961,1
South Dakota,28.1491,1
Tennessee,28.4205,1
Texas,28.12495,1
Utah,27.18256,0
Vermont,27.23756,0
Virginia,27.71044,0
Washington,27.58804,0
West Virginia,28.71698,1
Wisconsin,28.28231,1
Wyoming,27.47675,0
